Name,Street Address,Phone,Rating,Reviews,Price Range,Category,Description,Image URL,Listing URL
Bibble & Sip,"253 W 51st St, New York, NY 10019",(646) 649-5116,4.5,2749,$,"Coffee & Tea,Bakeries","Yup, I've definitely been missing sesame and matcha cream puffs all my life. The cream puffs are AMAZING. Texture of the actual puff is crisp outer shell and the filling is…","https://s3-media2.fl.yelpcdn.com/bphoto/zCUvBD2KTMNEps7TAuuecQ/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/zCUvBD2KTMNEps7TAuuecQ/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/zCUvBD2KTMNEps7TAuuecQ/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/zCUvBD2KTMNEps7TAuuecQ/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/zCUvBD2KTMNEps7TAuuecQ/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/zCUvBD2KTMNEps7TAuuecQ/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/zCUvBD2KTMNEps7TAuuecQ/258s.jpg 2.87x",http://www.yelp.com/biz/bibble-and-sip-new-york-2?osq=Coffee
Coffee Project New York,"239 E 5th St, New York, NY 10003",(212) 228-7888,4.5,484,$$,Coffee & Tea,"I was a little skeptical when I saw the rave reviews and the hype machine around Coffee Project but I have to say, they won me over.It is tiny and usually super crowded but they…","https://s3-media3.fl.yelpcdn.com/bphoto/qCeQT_p_uNalc9Q1WoT2ag/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/qCeQT_p_uNalc9Q1WoT2ag/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/qCeQT_p_uNalc9Q1WoT2ag/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/qCeQT_p_uNalc9Q1WoT2ag/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/qCeQT_p_uNalc9Q1WoT2ag/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/qCeQT_p_uNalc9Q1WoT2ag/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/qCeQT_p_uNalc9Q1WoT2ag/258s.jpg 2.87x",http://www.yelp.com/biz/coffee-project-new-york-new-york?osq=Coffee
Hutch & Waldo,"247 E 81st St, New York, NY 10028",(917) 409-1399,5.0,12,$$,Coffee & Tea,"Does the UES need more coffee? When it's this good and Aussie the answer is yes. Clean, friendly and made me miss my favourite coffee shop in London badly! Parlor beans - choice of…","https://s3-media2.fl.yelpcdn.com/bphoto/5qNtlY7aEcLDnrN6I7pFyQ/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/5qNtlY7aEcLDnrN6I7pFyQ/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/5qNtlY7aEcLDnrN6I7pFyQ/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/5qNtlY7aEcLDnrN6I7pFyQ/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/5qNtlY7aEcLDnrN6I7pFyQ/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/5qNtlY7aEcLDnrN6I7pFyQ/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/5qNtlY7aEcLDnrN6I7pFyQ/258s.jpg 2.87x",http://www.yelp.com/biz/hutch-and-waldo-new-york?osq=Coffee
Frisson Espresso,"326 W 47th St, New York, NY 10036",(646) 850-3928,4.5,473,$,"Coffee & Tea,Cafes","What an amazing small coffee shop where most customers are regulars and know the people in the shop!! The decor is simple and welcoming, it seats about 20 people and has 2-3 people…","https://s3-media1.fl.yelpcdn.com/bphoto/Yom25zUK7RYqGvEBb1PybA/90s.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/Yom25zUK7RYqGvEBb1PybA/180s.jpg 2.00x,https://s3-media1.fl.yelpcdn.com/bphoto/Yom25zUK7RYqGvEBb1PybA/ms.jpg 1.11x,https://s3-media1.fl.yelpcdn.com/bphoto/Yom25zUK7RYqGvEBb1PybA/120s.jpg 1.33x,https://s3-media1.fl.yelpcdn.com/bphoto/Yom25zUK7RYqGvEBb1PybA/168s.jpg 1.87x,https://s3-media1.fl.yelpcdn.com/bphoto/Yom25zUK7RYqGvEBb1PybA/ls.jpg 2.78x,https://s3-media1.fl.yelpcdn.com/bphoto/Yom25zUK7RYqGvEBb1PybA/258s.jpg 2.87x",http://www.yelp.com/biz/frisson-espresso-new-york?osq=Coffee
Bluestone Lane,"805 3rd Ave, New York, NY 10022",(212) 888-8848,4.5,202,$,"Coffee & Tea,Gluten-Free,Breakfast & Brunch",I stumbled on this place a few years back when they were first opening and am so glad I found them again.They make one of the best flat whites I've ever had and the avocado toast…,"https://s3-media3.fl.yelpcdn.com/bphoto/HaG2aMxrPfF2ELIGM-Qt7w/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/HaG2aMxrPfF2ELIGM-Qt7w/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/HaG2aMxrPfF2ELIGM-Qt7w/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/HaG2aMxrPfF2ELIGM-Qt7w/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/HaG2aMxrPfF2ELIGM-Qt7w/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/HaG2aMxrPfF2ELIGM-Qt7w/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/HaG2aMxrPfF2ELIGM-Qt7w/258s.jpg 2.87x",http://www.yelp.com/biz/bluestone-lane-new-york-10?osq=Coffee
Birch Coffee,"134 1/2 E 62nd St, New York, NY 10065",(212) 686-1444,4.5,184,$$,Coffee & Tea,"I heard alot about birch online so decided to try it out with a friend, I needed to feel more awake so I got the espresso and lemme tell you Birch is one of the few places that does…","https://s3-media4.fl.yelpcdn.com/bphoto/af1r5pomDeMi5hA6GxnFIA/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/af1r5pomDeMi5hA6GxnFIA/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/af1r5pomDeMi5hA6GxnFIA/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/af1r5pomDeMi5hA6GxnFIA/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/af1r5pomDeMi5hA6GxnFIA/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/af1r5pomDeMi5hA6GxnFIA/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/af1r5pomDeMi5hA6GxnFIA/258s.jpg 2.87x",http://www.yelp.com/biz/birch-coffee-new-york-8?osq=Coffee
Perk Kafe,"162 E 37th St, New York, NY 10016",(212) 686-7375,4.5,313,$,"Coffee & Tea,Bakeries","I was led here by cups app because I had time to kill before a movie at kips bay. There was a closer cafe near kips bay, but it didn't have a restroom. They have one here and it's…","https://s3-media4.fl.yelpcdn.com/bphoto/WZ907LApvHYgT1aKh50WuQ/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/WZ907LApvHYgT1aKh50WuQ/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/WZ907LApvHYgT1aKh50WuQ/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/WZ907LApvHYgT1aKh50WuQ/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/WZ907LApvHYgT1aKh50WuQ/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/WZ907LApvHYgT1aKh50WuQ/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/WZ907LApvHYgT1aKh50WuQ/258s.jpg 2.87x",http://www.yelp.com/biz/perk-kafe-new-york?osq=Coffee
Ground Central,"888 8th Ave, New York, NY 10019",(917) 265-8557,4.5,25,$$,"Coffee & Tea,Bakeries","I was in the area very early (for me anyway) at 7:30 and was pleasantly surprised to find this shop open! I really liked the vibe upon entering, dark enough to be cozy but warm and…","https://s3-media3.fl.yelpcdn.com/bphoto/ITL9_-jwi2q0xvg_xVHO9A/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/ITL9_-jwi2q0xvg_xVHO9A/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/ITL9_-jwi2q0xvg_xVHO9A/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/ITL9_-jwi2q0xvg_xVHO9A/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/ITL9_-jwi2q0xvg_xVHO9A/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/ITL9_-jwi2q0xvg_xVHO9A/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/ITL9_-jwi2q0xvg_xVHO9A/258s.jpg 2.87x",http://www.yelp.com/biz/ground-central-new-york-4?osq=Coffee
Astoria Coffee,"30-04 30th St, Astoria, NY 11102",(347) 619-3915,4.5,253,$,"Coffee & Tea,Ice Cream & Frozen Yogurt,Bakeries",I got an iced Americano.it wasn't too watery. the americano went down smooth with a little richiness. it wasnt bitter at all.there was obvious notes of cinnamon and ginger. kind…,"https://s3-media3.fl.yelpcdn.com/bphoto/vucRv5G9kmVNEY7_VdAlyw/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/vucRv5G9kmVNEY7_VdAlyw/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/vucRv5G9kmVNEY7_VdAlyw/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/vucRv5G9kmVNEY7_VdAlyw/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/vucRv5G9kmVNEY7_VdAlyw/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/vucRv5G9kmVNEY7_VdAlyw/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/vucRv5G9kmVNEY7_VdAlyw/258s.jpg 2.87x",http://www.yelp.com/biz/astoria-coffee-astoria?osq=Coffee
Stumptown Coffee Roasters,"20 W 29th St, New York, NY 10001",(855) 711-3385,4.5,1270,$$,"Coffee & Tea,Coffee Roasteries",A friend introduced me to this coffee shop near Madison Square Park. It has a very casual and classy vibe. They have great espresso and drafted coffeeExperience 4/5Taste 4/5…,"https://s3-media1.fl.yelpcdn.com/bphoto/anXIYeYnJupZT6ziAD7JnQ/90s.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/anXIYeYnJupZT6ziAD7JnQ/180s.jpg 2.00x,https://s3-media1.fl.yelpcdn.com/bphoto/anXIYeYnJupZT6ziAD7JnQ/ms.jpg 1.11x,https://s3-media1.fl.yelpcdn.com/bphoto/anXIYeYnJupZT6ziAD7JnQ/120s.jpg 1.33x,https://s3-media1.fl.yelpcdn.com/bphoto/anXIYeYnJupZT6ziAD7JnQ/168s.jpg 1.87x,https://s3-media1.fl.yelpcdn.com/bphoto/anXIYeYnJupZT6ziAD7JnQ/ls.jpg 2.78x,https://s3-media1.fl.yelpcdn.com/bphoto/anXIYeYnJupZT6ziAD7JnQ/258s.jpg 2.87x",http://www.yelp.com/biz/stumptown-coffee-roasters-new-york?osq=Coffee
